SISRecID,count,name_com,name_sci,status
22706604,0,Pale Cicadabird,Edolisoma ceramense,LC
22734268,0,Claudia's Leaf-warbler,Phylloscopus claudiae,LC
22710559,0,Long-tailed Starling,Aplonis magna,LC
103734876,0,New Zealand Tomtit,Petroica macrocephala,LC
22717336,0,Sand Lark,Alaudala raytal,LC
22684143,0,Snail-eating Coua,Coua delalandei,EX
103727509,0,Violet Crow,Corvus violaceus,LC
22678607,0,New Guinea Scrubfowl,Megapodius decollatus,LC
22721982,0,Santa Marta Warbler,Myiothlypis basilica,NT
22736315,0,Cape Canary,Serinus canicollis,LC
22722248,0,Three-striped Hemispingus,Microspingus trifasciatus,LC
22705579,0,White-bellied Pitohui,Pseudorectes incertus,NT
22726935,0,Southern Silvery Kingfisher,Ceyx argentatus,NT
22702068,0,White-throated Earthcreeper,Upucerthia albigula,LC
22722167,0,Tacarcuna Bush-tanager,Chlorospingus tacarcunae,LC
22713741,0,Masked Apalis,Apalis binotata,LC
22688369,0,White-crested Turaco,Tauraco leucolophus,LC
22702426,0,Streak-capped Spinetail,Cranioleuca hellmayri,LC
22691668,0,Polynesian Imperial-pigeon,Ducula aurorae,EN
45447765,0,Spectacled Imperial-pigeon,Ducula perspicillata,LC
22679106,0,Crested Partridge,Rollulus rouloul,VU
22728666,0,Amsterdam Duck,Anas marecula,EX
22705219,0,Flat-billed Vireo,Vireo nanus,LC
22718706,0,Donaldson-Smith's Sparrow-weaver,Plocepasser donaldsoni,LC
22692250,0,Slender-billed Flufftail,Sarothrura watersi,EN
22701460,0,Rufous-bellied Antwren,Isleria guttata,LC
22686952,0,White-bearded Hermit,Phaethornis hispidus,LC
22728215,0,Whyte's Francolin,Scleroptila whytei,LC
22700638,0,Barred Becard,Pachyramphus versicolor,LC
22717391,0,Malabar Lark,Galerida malabarica,LC
22704245,0,Rufous-backed Honeyeater,Ptiloprora guisei,LC
22729426,0,Barbuda Warbler,Setophaga subita,VU
22692565,0,Rufous-necked Wood-rail,Aramides axillaris,LC
22715906,0,Puvel's Illadopsis,Illadopsis puveli,LC
22735810,0,Greater Painted-snipe,Rostratula benghalensis,LC
22728285,0,Spot-winged Pigeon,Patagioenas maculosa,LC
22700965,0,Bearded Bellbird,Procnias averano,LC
103842202,0,Togian Golden Bulbul,Hypsipetes aureus,LC
22702555,0,Streak-throated Canastero,Asthenes humilis,LC
22735960,0,Madagascar Scops-owl,Otus rutilus,LC
22700220,0,Cinereous Black-tyrant,Knipolegus striaticeps,LC
22684986,0,Sulu Racquet-tail,Prioniturus verticalis,CR
22723386,0,Great Pampa-finch,Embernagra platensis,LC
