genus,lc_count,vu_count
eudynamys,2,0
eudyptes,0,7
eudyptula,1,0
eugenes,1,0
eugerygone,1,0
eugralla,1,0
eulabeornis,1,0
eulacestoma,1,0
eulampis,2,0
eulidia,0,1
eulipoa,0,1
eumomota,1,0
eumyias,5,2
euneornis,1,0
eunymphicus,0,2
euodice,2,0
eupetes,0,1
eupetomena,1,0
euphagus,1,1
eupherusa,2,2
euphonia,28,1
euplectes,17,1
eupodotis,1,1
eupsittula,4,2
euptilotis,1,0
euptilotus,0,1
eurillas,5,0
eurocephalus,2,0
eurochelidon,0,1
eurostopodus,4,3
euryceros,0,1
eurylaimus,1,2
euryptila,1,0
eurypyga,1,0
eurystomus,3,1
euscarthmus,2,1
euschistospiza,2,0
eutoxeres,2,0
eutrichomyias,0,1
eutriorchis,0,1
falcipennis,2,1
falco,28,11
falculea,1,0
falcunculus,3,0
ferminia,0,1
ficedula,26,8
florisuga,2,0
fluvicola,3,0
formicarius,5,1
formicivora,5,5
forpus,6,2
foudia,4,5
foulehaio,3,0
francolinus,4,1
fraseria,7,1
fratercula,2,1
frederickena,2,0
fregata,3,1
fregetta,2,1
fregilupus,1,0
fringilla,2,2
fulica,9,2
fulmarus,2,0
fulvetta,8,0
furnarius,8,0
gactornis,1,0
galbalcyrhynchus,2,0
galbula,10,1
galerida,6,0
gallicolumba,2,5
gallicrex,1,0
gallinago,11,6
gallinula,4,1
gallirallus,0,3
gallirex,2,0
galloperdix,3,0
gallus,4,0
gampsonyx,1,0
gampsorhynchus,2,0
garritornis,1,0
garrodia,1,0
garrulax,9,5
garrulus,4,1
gavia,4,1
gavicalis,3,0
gecinulus,2,0
gelochelidon,2,0
gennaeodryas,0,1
geobiastes,0,1
geocerthia,1,0
geococcyx,2,0
geocolaptes,0,1
geoffroyus,4,0
geokichla,8,12
geopelia,5,0
geophaps,2,1
geositta,10,1
geospiza,6,8
geospizopsis,2,0
geothlypis,12,3
geotrygon,5,4
geranoaetus,3,0
geranospiza,1,0
geronticus,0,2
gerygone,18,1
glareola,5,2
glaucidium,28,5
glaucis,2,1
gliciphila,3,0
glossopsitta,3,0
glycichaera,1,0
glyphorynchus,1,0
gnorimopsar,1,0
goethalsia,0,1
goldmania,0,1
goodfellowia,0,1
gorsachius,1,1
goura,0,4
gracula,2,3
gracupica,2,1
grafisia,1,0
grallaria,21,14
grallaricula,4,6
grallina,2,0
graminicola,0,2
grammatoptila,1,0
granatellus,4,1
granatina,2,0
grandala,1,0
grantiella,0,1
graueria,1,0
graydidascalus,1,0
griseotyrannus,1,0
grus,3,6
guadalcanaria,1,0
guaruba,0,1
gubernatrix,0,1
gubernetes,1,0
guira,1,0
gulosus,1,0
guttera,4,0
guyramemua,0,1
gygis,2,0
gymnobucco,5,1
gymnocichla,1,0
gymnocrex,1,2
gymnoderus,1,0
gymnogyps,0,1
gymnomystax,1,0
gymnomyza,2,2
gymnophaps,4,0
gymnopithys,3,0
gymnorhina,1,0
gymnorhinus,0,1
gymnoris,4,0
gypaetus,0,1
gypohierax,1,0
gyps,1,6
gypsophila,4,1
habia,8,1
habroptila,0,1
haematoderus,1,0
haematopus,9,2
haematortyx,1,0
haemorhous,3,0
hafferia,3,0
halcyon,12,0
haliaeetus,4,4
haliastur,2,0
halobaena,1,0
hamirostra,1,0
hapalopsittaca,2,2
hapaloptila,1,0
haplophaedia,2,1
haplospiza,1,0
harpactes,4,6
harpagus,2,0
harpia,0,1
harpyopsis,0,1
hartertula,0,1
hartlaubius,1,0
hedydipna,3,1
heinrichia,1,1
heleia,9,1
heliactin,1,0
heliangelus,8,1
helicolestes,1,0
heliobletus,1,0
heliodoxa,9,1
heliomaster,4,0
heliopais,0,1
heliornis,1,0
heliothryx,2,0
hellmayrea,1,0
helmitheros,1,0
helopsaltes,4,2
hemicircus,3,0
hemignathus,1,3
hemimacronyx,0,1
hemiphaga,0,2
hemiprocne,4,0
hemipus,2,0
hemitesia,2,0
hemithraupis,3,0
hemitriccus,16,6
hemixos,5,0
henicopernis,1,1
henicophaps,1,1
henicorhina,2,3
herpetotheres,1,0
herpsilochmus,13,5
hesperiphona,1,1
heteralocha,1,0
heterocercus,3,0
heteromirafra,0,2
heteromunia,1,0
heteromyias,3,0
heteronetta,1,0
heterophasia,7,0
heteroscenes,1,0
heterospingus,2,0
heterotetrax,1,1
heteroxenicus,1,0
hieraaetus,5,0
hierococcyx,7,1
himalayapsitta,2,2
himantopus,1,1
himantornis,1,0
himatione,2,0
hippolais,4,0
hirundapus,4,0
hirundinea,2,0
hirundo,13,2
histrionicus,1,0
histurgops,1,0
hodgsonius,1,0
hoploxypterus,1,0
horizocerus,4,0
horornis,10,2
houbaropsis,0,1
humblotia,0,1
hydrobates,8,10
hydrochous,0,1
hydrocoloeus,1,0
hydrophasianus,1,0
hydroprogne,1,0
hydropsalis,4,0
hydrornis,8,5
hylatomus,3,1
hylexetastes,2,0
hylia,1,0
hyliota,3,1
hylocichla,1,0
hylocitrea,1,1
hylomanes,1,0
hylonympha,0,1
hylopezus,6,2
hylophilus,10,1
hylophylax,3,0
hylopsar,1,1
hylorchilus,0,2
hymenolaimus,0,1
hymenops,1,0
hypargos,2,0
hypergerus,1,0
hypnelus,2,0
hypocnemis,7,1
hypocnemoides,2,0
hypocolius,1,0
hypocryptadius,1,0
